Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2015,1,el Raval,3716,1
2015,1,el Raval,200,2
2015,1,el Raval,79,3
2015,1,el Raval,176,4
2015,1,el Raval,60,5
2015,1,el Raval,108,6
2015,1,el Raval,83,7
2015,1,el Raval,130,8
2015,1,el Raval,146,9
2015,1,el Raval,492,10
2015,1,el Raval,594,11
2015,1,el Raval,..,12
2015,1,el Raval,77,13
2015,1,el Raval,23,14
2015,1,el Raval,63,15
2015,1,el Raval,24,16
2015,1,el Raval,32,17
2015,1,el Raval,81,18
2015,1,el Raval,38,19
2015,1,el Raval,10,20
2015,1,el Raval,5,21
2015,1,el Raval,7,22
2015,1,el Raval,18,23
2015,1,el Raval,..,24
2015,1,el Raval,28,25
2015,1,el Raval,27,26
2015,1,el Raval,38,27
2015,1,el Raval,20,28
2015,1,el Raval,..,29
2015,1,el Raval,16,30
2015,1,el Raval,77,31
2015,1,el Raval,39,32
2015,1,el Raval,26,33
2015,1,el Raval,10,34
2015,1,el Raval,50,35
2015,1,el Raval,..,36
2015,1,el Raval,42,37
2015,1,el Raval,14,38
2015,1,el Raval,..,39
2015,1,el Raval,12,40
2015,1,el Raval,..,41
2015,1,el Raval,..,42
2015,1,el Raval,45,43
2015,1,el Raval,30,44
2015,1,el Raval,35,45
2015,1,el Raval,10,46
2015,1,el Raval,..,47
2015,1,el Raval,10,48
2015,1,el Raval,..,49
2015,1,el Raval,37,50
2015,1,el Raval,9,51
2015,1,el Raval,27,52
2015,1,el Raval,9,53
2015,1,el Raval,16,54
2015,1,el Raval,21,55
2015,1,el Raval,..,56
2015,1,el Raval,26,57
2015,1,el Raval,..,58
2015,1,el Raval,18,59
2015,1,el Raval,24,60
2015,1,el Raval,23,61
2015,1,el Raval,12,62
2015,1,el Raval,29,63
2015,1,el Raval,58,64
2015,1,el Raval,41,65
2015,1,el Raval,19,66
2015,1,el Raval,7,67
2015,1,el Raval,39,68
2015,1,el Raval,5,69
2015,1,el Raval,65,70
2015,1,el Raval,22,71
2015,1,el Raval,24,72
2015,1,el Raval,23,73
2015,2,el Barri Gòtic,288,1
2015,2,el Barri Gòtic,274,2
2015,2,el Barri Gòtic,58,3
2015,2,el Barri Gòtic,122,4
2015,2,el Barri Gòtic,33,5
2015,2,el Barri Gòtic,46,6
2015,2,el Barri Gòtic,61,7
2015,2,el Barri Gòtic,44,8
2015,2,el Barri Gòtic,35,9
2015,2,el Barri Gòtic,66,10
2015,2,el Barri Gòtic,100,11
2015,2,el Barri Gòtic,12,13
2015,2,el Barri Gòtic,..,14
2015,2,el Barri Gòtic,9,15
2015,2,el Barri Gòtic,7,16
2015,2,el Barri Gòtic,11,17
2015,2,el Barri Gòtic,34,18
2015,2,el Barri Gòtic,18,19
2015,2,el Barri Gòtic,9,20
2015,2,el Barri Gòtic,..,21
2015,2,el Barri Gòtic,..,22
2015,2,el Barri Gòtic,11,23
2015,2,el Barri Gòtic,6,24
2015,2,el Barri Gòtic,20,25
2015,2,el Barri Gòtic,13,26
2015,2,el Barri Gòtic,21,27
2015,2,el Barri Gòtic,..,28
2015,2,el Barri Gòtic,5,29
2015,2,el Barri Gòtic,..,30
2015,2,el Barri Gòtic,47,31
2015,2,el Barri Gòtic,13,32
2015,2,el Barri Gòtic,12,33
2015,2,el Barri Gòtic,..,34
2015,2,el Barri Gòtic,18,35
2015,2,el Barri Gòtic,..,36
2015,2,el Barri Gòtic,10,37
2015,2,el Barri Gòtic,..,38
2015,2,el Barri Gòtic,..,39
2015,2,el Barri Gòtic,..,40
2015,2,el Barri Gòtic,..,41
2015,2,el Barri Gòtic,..,42
2015,2,el Barri Gòtic,14,43
2015,2,el Barri Gòtic,..,44
2015,2,el Barri Gòtic,5,45
2015,2,el Barri Gòtic,5,46
2015,2,el Barri Gòtic,..,47
2015,2,el Barri Gòtic,..,49
2015,2,el Barri Gòtic,18,50
2015,2,el Barri Gòtic,..,51
2015,2,el Barri Gòtic,9,52
2015,2,el Barri Gòtic,..,54
2015,2,el Barri Gòtic,..,57
2015,2,el Barri Gòtic,..,58
2015,2,el Barri Gòtic,..,59
2015,2,el Barri Gòtic,14,60
2015,2,el Barri Gòtic,9,61
2015,2,el Barri Gòtic,12,62
2015,2,el Barri Gòtic,14,63
2015,2,el Barri Gòtic,19,64
2015,2,el Barri Gòtic,11,65
2015,2,el Barri Gòtic,23,66
2015,2,el Barri Gòtic,33,68
2015,2,el Barri Gòtic,..,69
2015,2,el Barri Gòtic,18,70
2015,2,el Barri Gòtic,8,71
2015,2,el Barri Gòtic,8,72
2015,2,el Barri Gòtic,8,73
2015,3,la Barceloneta,82,1
2015,3,la Barceloneta,65,2
2015,3,la Barceloneta,559,3
2015,3,la Barceloneta,72,4
2015,3,la Barceloneta,29,5
2015,3,la Barceloneta,21,6
2015,3,la Barceloneta,20,7
2015,3,la Barceloneta,16,8
2015,3,la Barceloneta,18,9
2015,3,la Barceloneta,18,10
2015,3,la Barceloneta,56,11
2015,3,la Barceloneta,5,13
2015,3,la Barceloneta,..,14
2015,3,la Barceloneta,11,15
2015,3,la Barceloneta,5,16
2015,3,la Barceloneta,7,17
2015,3,la Barceloneta,22,18
2015,3,la Barceloneta,15,19
2015,3,la Barceloneta,..,20
2015,3,la Barceloneta,5,23
2015,3,la Barceloneta,..,24
2015,3,la Barceloneta,5,25
2015,3,la Barceloneta,..,26
2015,3,la Barceloneta,9,27
2015,3,la Barceloneta,6,28
2015,3,la Barceloneta,7,29
2015,3,la Barceloneta,6,30
2015,3,la Barceloneta,27,31
2015,3,la Barceloneta,11,32
2015,3,la Barceloneta,12,33
2015,3,la Barceloneta,..,34
2015,3,la Barceloneta,16,35
2015,3,la Barceloneta,..,36
2015,3,la Barceloneta,..,37
2015,3,la Barceloneta,..,38
2015,3,la Barceloneta,6,43
2015,3,la Barceloneta,5,44
2015,3,la Barceloneta,..,45
2015,3,la Barceloneta,6,46
2015,3,la Barceloneta,..,48
2015,3,la Barceloneta,..,49
2015,3,la Barceloneta,7,50
2015,3,la Barceloneta,..,51
2015,3,la Barceloneta,11,52
2015,3,la Barceloneta,..,53
2015,3,la Barceloneta,..,54
2015,3,la Barceloneta,..,55
2015,3,la Barceloneta,..,57
2015,3,la Barceloneta,..,58
2015,3,la Barceloneta,5,59
2015,3,la Barceloneta,10,60
2015,3,la Barceloneta,..,61
2015,3,la Barceloneta,5,62
2015,3,la Barceloneta,6,63
2015,3,la Barceloneta,20,64
2015,3,la Barceloneta,17,65
2015,3,la Barceloneta,23,66
2015,3,la Barceloneta,28,67
2015,3,la Barceloneta,38,68
2015,3,la Barceloneta,..,69
2015,3,la Barceloneta,29,70
2015,3,la Barceloneta,14,71
2015,3,la Barceloneta,20,72
2015,3,la Barceloneta,16,73
2015,4,"Sant Pere, Santa Caterina i la Ribera",186,1
2015,4,"Sant Pere, Santa Caterina i la Ribera",117,2
2015,4,"Sant Pere, Santa Caterina i la Ribera",85,3
2015,4,"Sant Pere, Santa Caterina i la Ribera",480,4
2015,4,"Sant Pere, Santa Caterina i la Ribera",89,5
2015,4,"Sant Pere, Santa Caterina i la Ribera",59,6
2015,4,"Sant Pere, Santa Caterina i la Ribera",102,7
2015,4,"Sant Pere, Santa Caterina i la Ribera",42,8
2015,4,"Sant Pere, Santa Caterina i la Ribera",42,9
2015,4,"Sant Pere, Santa Caterina i la Ribera",70,10
2015,4,"Sant Pere, Santa Caterina i la Ribera",84,11
2015,4,"Sant Pere, Santa Caterina i la Ribera",17,13
2015,4,"Sant Pere, Santa Caterina i la Ribera",6,14
2015,4,"Sant Pere, Santa Caterina i la Ribera",24,15
2015,4,"Sant Pere, Santa Caterina i la Ribera",17,16
2015,4,"Sant Pere, Santa Caterina i la Ribera",10,17
2015,4,"Sant Pere, Santa Caterina i la Ribera",24,18
2015,4,"Sant Pere, Santa Caterina i la Ribera",19,19
2015,4,"Sant Pere, Santa Caterina i la Ribera",8,20
2015,4,"Sant Pere, Santa Caterina i la Ribera",..,21
2015,4,"Sant Pere, Santa Caterina i la Ribera",..,22
2015,4,"Sant Pere, Santa Caterina i la Ribera",7,23
2015,4,"Sant Pere, Santa Caterina i la Ribera",8,24
2015,4,"Sant Pere, Santa Caterina i la Ribera",11,25
2015,4,"Sant Pere, Santa Caterina i la Ribera",27,26
2015,4,"Sant Pere, Santa Caterina i la Ribera",19,27
2015,4,"Sant Pere, Santa Caterina i la Ribera",12,28
2015,4,"Sant Pere, Santa Caterina i la Ribera",..,29
