Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2019,1,el Raval,2163,1
2019,1,el Raval,792,2
2019,1,el Raval,93,3
2019,1,el Raval,148,4
2019,1,el Raval,79,5
2019,1,el Raval,87,6
2019,1,el Raval,84,7
2019,1,el Raval,132,8
2019,1,el Raval,142,9
2019,1,el Raval,345,10
2019,1,el Raval,413,11
2019,1,el Raval,..,12
2019,1,el Raval,44,13
2019,1,el Raval,26,14
2019,1,el Raval,58,15
2019,1,el Raval,38,16
2019,1,el Raval,41,17
2019,1,el Raval,120,18
2019,1,el Raval,30,19
2019,1,el Raval,24,20
2019,1,el Raval,6,21
2019,1,el Raval,..,22
2019,1,el Raval,22,23
2019,1,el Raval,6,24
2019,1,el Raval,16,25
2019,1,el Raval,38,26
2019,1,el Raval,24,27
2019,1,el Raval,21,28
2019,1,el Raval,24,29
2019,1,el Raval,20,30
2019,1,el Raval,130,31
2019,1,el Raval,33,32
2019,1,el Raval,30,33
2019,1,el Raval,15,34
2019,1,el Raval,32,35
2019,1,el Raval,14,36
2019,1,el Raval,20,37
2019,1,el Raval,15,38
2019,1,el Raval,10,39
2019,1,el Raval,7,40
2019,1,el Raval,6,41
2019,1,el Raval,23,43
2019,1,el Raval,21,44
2019,1,el Raval,22,45
2019,1,el Raval,15,46
2019,1,el Raval,13,48
2019,1,el Raval,..,49
2019,1,el Raval,26,50
2019,1,el Raval,8,51
2019,1,el Raval,28,52
2019,1,el Raval,5,53
2019,1,el Raval,..,54
2019,1,el Raval,14,55
2019,1,el Raval,23,57
2019,1,el Raval,..,58
2019,1,el Raval,21,59
2019,1,el Raval,26,60
2019,1,el Raval,18,61
2019,1,el Raval,28,62
2019,1,el Raval,18,63
2019,1,el Raval,66,64
2019,1,el Raval,44,65
2019,1,el Raval,33,66
2019,1,el Raval,12,67
2019,1,el Raval,87,68
2019,1,el Raval,6,69
2019,1,el Raval,59,70
2019,1,el Raval,27,71
2019,1,el Raval,21,72
2019,1,el Raval,25,73
2019,2,el Barri Gòtic,358,1
2019,2,el Barri Gòtic,281,2
2019,2,el Barri Gòtic,71,3
2019,2,el Barri Gòtic,156,4
2019,2,el Barri Gòtic,42,5
2019,2,el Barri Gòtic,46,6
2019,2,el Barri Gòtic,60,7
2019,2,el Barri Gòtic,54,8
2019,2,el Barri Gòtic,69,9
2019,2,el Barri Gòtic,75,10
2019,2,el Barri Gòtic,107,11
2019,2,el Barri Gòtic,..,12
2019,2,el Barri Gòtic,29,13
2019,2,el Barri Gòtic,14,14
2019,2,el Barri Gòtic,27,15
2019,2,el Barri Gòtic,20,16
2019,2,el Barri Gòtic,25,17
2019,2,el Barri Gòtic,27,18
2019,2,el Barri Gòtic,29,19
2019,2,el Barri Gòtic,13,20
2019,2,el Barri Gòtic,..,21
2019,2,el Barri Gòtic,8,22
2019,2,el Barri Gòtic,14,23
2019,2,el Barri Gòtic,8,24
2019,2,el Barri Gòtic,8,25
2019,2,el Barri Gòtic,15,26
2019,2,el Barri Gòtic,26,27
2019,2,el Barri Gòtic,9,28
2019,2,el Barri Gòtic,..,29
2019,2,el Barri Gòtic,7,30
2019,2,el Barri Gòtic,69,31
2019,2,el Barri Gòtic,26,32
2019,2,el Barri Gòtic,27,33
2019,2,el Barri Gòtic,..,34
2019,2,el Barri Gòtic,19,35
2019,2,el Barri Gòtic,10,36
2019,2,el Barri Gòtic,32,37
2019,2,el Barri Gòtic,..,38
2019,2,el Barri Gòtic,..,39
2019,2,el Barri Gòtic,9,40
2019,2,el Barri Gòtic,6,41
2019,2,el Barri Gòtic,7,43
2019,2,el Barri Gòtic,13,44
2019,2,el Barri Gòtic,18,45
2019,2,el Barri Gòtic,7,46
2019,2,el Barri Gòtic,..,47
2019,2,el Barri Gòtic,11,48
2019,2,el Barri Gòtic,..,49
2019,2,el Barri Gòtic,5,50
2019,2,el Barri Gòtic,10,51
2019,2,el Barri Gòtic,16,52
2019,2,el Barri Gòtic,..,53
2019,2,el Barri Gòtic,..,54
2019,2,el Barri Gòtic,..,55
2019,2,el Barri Gòtic,..,57
2019,2,el Barri Gòtic,..,58
2019,2,el Barri Gòtic,5,59
2019,2,el Barri Gòtic,32,60
2019,2,el Barri Gòtic,13,61
2019,2,el Barri Gòtic,..,62
2019,2,el Barri Gòtic,7,63
2019,2,el Barri Gòtic,23,64
2019,2,el Barri Gòtic,18,65
2019,2,el Barri Gòtic,30,66
2019,2,el Barri Gòtic,10,67
2019,2,el Barri Gòtic,20,68
2019,2,el Barri Gòtic,5,69
2019,2,el Barri Gòtic,26,70
2019,2,el Barri Gòtic,17,71
2019,2,el Barri Gòtic,19,72
2019,2,el Barri Gòtic,19,73
2019,3,la Barceloneta,73,1
2019,3,la Barceloneta,92,2
2019,3,la Barceloneta,425,3
2019,3,la Barceloneta,76,4
2019,3,la Barceloneta,33,5
2019,3,la Barceloneta,48,6
2019,3,la Barceloneta,38,7
2019,3,la Barceloneta,24,8
2019,3,la Barceloneta,30,9
2019,3,la Barceloneta,29,10
2019,3,la Barceloneta,54,11
2019,3,la Barceloneta,7,13
2019,3,la Barceloneta,6,14
2019,3,la Barceloneta,5,15
2019,3,la Barceloneta,6,16
2019,3,la Barceloneta,15,17
2019,3,la Barceloneta,21,18
2019,3,la Barceloneta,18,19
2019,3,la Barceloneta,..,20
2019,3,la Barceloneta,..,21
2019,3,la Barceloneta,..,23
2019,3,la Barceloneta,..,25
2019,3,la Barceloneta,11,26
2019,3,la Barceloneta,12,27
2019,3,la Barceloneta,8,28
2019,3,la Barceloneta,6,29
2019,3,la Barceloneta,5,30
2019,3,la Barceloneta,29,31
2019,3,la Barceloneta,12,32
2019,3,la Barceloneta,13,33
2019,3,la Barceloneta,..,34
2019,3,la Barceloneta,26,35
2019,3,la Barceloneta,..,36
2019,3,la Barceloneta,17,37
2019,3,la Barceloneta,9,38
2019,3,la Barceloneta,..,39
2019,3,la Barceloneta,5,40
2019,3,la Barceloneta,..,41
2019,3,la Barceloneta,..,42
2019,3,la Barceloneta,..,43
2019,3,la Barceloneta,..,44
2019,3,la Barceloneta,11,45
2019,3,la Barceloneta,..,46
2019,3,la Barceloneta,..,48
2019,3,la Barceloneta,..,50
2019,3,la Barceloneta,..,51
2019,3,la Barceloneta,10,52
2019,3,la Barceloneta,..,53
2019,3,la Barceloneta,6,55
2019,3,la Barceloneta,..,57
2019,3,la Barceloneta,..,58
2019,3,la Barceloneta,..,59
2019,3,la Barceloneta,16,60
2019,3,la Barceloneta,8,61
2019,3,la Barceloneta,12,62
2019,3,la Barceloneta,5,63
2019,3,la Barceloneta,30,64
2019,3,la Barceloneta,12,65
2019,3,la Barceloneta,27,66
2019,3,la Barceloneta,12,67
2019,3,la Barceloneta,35,68
2019,3,la Barceloneta,7,69
2019,3,la Barceloneta,17,70
2019,3,la Barceloneta,15,71
2019,3,la Barceloneta,13,72
2019,3,la Barceloneta,9,73
2019,4,"Sant Pere, Santa Caterina i la Ribera",179,1
2019,4,"Sant Pere, Santa Caterina i la Ribera",166,2
2019,4,"Sant Pere, Santa Caterina i la Ribera",78,3
2019,4,"Sant Pere, Santa Caterina i la Ribera",384,4
2019,4,"Sant Pere, Santa Caterina i la Ribera",110,5
2019,4,"Sant Pere, Santa Caterina i la Ribera",58,6
2019,4,"Sant Pere, Santa Caterina i la Ribera",129,7
2019,4,"Sant Pere, Santa Caterina i la Ribera",49,8
2019,4,"Sant Pere, Santa Caterina i la Ribera",68,9
2019,4,"Sant Pere, Santa Caterina i la Ribera",59,10
2019,4,"Sant Pere, Santa Caterina i la Ribera",71,11
2019,4,"Sant Pere, Santa Caterina i la Ribera",13,13
2019,4,"Sant Pere, Santa Caterina i la Ribera",11,14
2019,4,"Sant Pere, Santa Caterina i la Ribera",12,15
2019,4,"Sant Pere, Santa Caterina i la Ribera",10,16
2019,4,"Sant Pere, Santa Caterina i la Ribera",16,17
2019,4,"Sant Pere, Santa Caterina i la Ribera",20,18
2019,4,"Sant Pere, Santa Caterina i la Ribera",29,19
2019,4,"Sant Pere, Santa Caterina i la Ribera",12,20
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,21
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,22
2019,4,"Sant Pere, Santa Caterina i la Ribera",22,23
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,24
2019,4,"Sant Pere, Santa Caterina i la Ribera",6,25
2019,4,"Sant Pere, Santa Caterina i la Ribera",13,26
2019,4,"Sant Pere, Santa Caterina i la Ribera",27,27
2019,4,"Sant Pere, Santa Caterina i la Ribera",8,28
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,29
2019,4,"Sant Pere, Santa Caterina i la Ribera",14,30
2019,4,"Sant Pere, Santa Caterina i la Ribera",93,31
2019,4,"Sant Pere, Santa Caterina i la Ribera",37,32
2019,4,"Sant Pere, Santa Caterina i la Ribera",28,33
2019,4,"Sant Pere, Santa Caterina i la Ribera",10,34
2019,4,"Sant Pere, Santa Caterina i la Ribera",26,35
2019,4,"Sant Pere, Santa Caterina i la Ribera",9,36
2019,4,"Sant Pere, Santa Caterina i la Ribera",13,37
2019,4,"Sant Pere, Santa Caterina i la Ribera",8,38
2019,4,"Sant Pere, Santa Caterina i la Ribera",9,39
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,41
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,42
2019,4,"Sant Pere, Santa Caterina i la Ribera",6,43
2019,4,"Sant Pere, Santa Caterina i la Ribera",13,44
2019,4,"Sant Pere, Santa Caterina i la Ribera",15,45
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,46
2019,4,"Sant Pere, Santa Caterina i la Ribera",..,48
