Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2021,1,el Raval,2466,1
2021,1,el Raval,583,2
2021,1,el Raval,119,3
2021,1,el Raval,163,4
2021,1,el Raval,115,5
2021,1,el Raval,108,6
2021,1,el Raval,114,7
2021,1,el Raval,154,8
2021,1,el Raval,194,9
2021,1,el Raval,397,10
2021,1,el Raval,431,11
2021,1,el Raval,9,12
2021,1,el Raval,63,13
2021,1,el Raval,38,14
2021,1,el Raval,33,15
2021,1,el Raval,29,16
2021,1,el Raval,37,17
2021,1,el Raval,118,18
2021,1,el Raval,49,19
2021,1,el Raval,17,20
2021,1,el Raval,..,21
2021,1,el Raval,5,22
2021,1,el Raval,18,23
2021,1,el Raval,..,24
2021,1,el Raval,20,25
2021,1,el Raval,29,26
2021,1,el Raval,22,27
2021,1,el Raval,24,28
2021,1,el Raval,14,29
2021,1,el Raval,11,30
2021,1,el Raval,139,31
2021,1,el Raval,52,32
2021,1,el Raval,26,33
2021,1,el Raval,16,34
2021,1,el Raval,62,35
2021,1,el Raval,6,36
2021,1,el Raval,32,37
2021,1,el Raval,14,38
2021,1,el Raval,11,39
2021,1,el Raval,7,40
2021,1,el Raval,..,41
2021,1,el Raval,..,42
2021,1,el Raval,33,43
2021,1,el Raval,19,44
2021,1,el Raval,23,45
2021,1,el Raval,13,46
2021,1,el Raval,..,47
2021,1,el Raval,10,48
2021,1,el Raval,5,49
2021,1,el Raval,19,50
2021,1,el Raval,12,51
2021,1,el Raval,12,52
2021,1,el Raval,..,53
2021,1,el Raval,..,54
2021,1,el Raval,7,55
2021,1,el Raval,..,56
2021,1,el Raval,19,57
2021,1,el Raval,23,59
2021,1,el Raval,33,60
2021,1,el Raval,25,61
2021,1,el Raval,13,62
2021,1,el Raval,28,63
2021,1,el Raval,97,64
2021,1,el Raval,32,65
2021,1,el Raval,49,66
2021,1,el Raval,17,67
2021,1,el Raval,70,68
2021,1,el Raval,11,69
2021,1,el Raval,70,70
2021,1,el Raval,26,71
2021,1,el Raval,21,72
2021,1,el Raval,45,73
2021,2,el Barri Gòtic,442,1
2021,2,el Barri Gòtic,401,2
2021,2,el Barri Gòtic,69,3
2021,2,el Barri Gòtic,206,4
2021,2,el Barri Gòtic,68,5
2021,2,el Barri Gòtic,77,6
2021,2,el Barri Gòtic,116,7
2021,2,el Barri Gòtic,81,8
2021,2,el Barri Gòtic,53,9
2021,2,el Barri Gòtic,75,10
2021,2,el Barri Gòtic,126,11
2021,2,el Barri Gòtic,..,12
2021,2,el Barri Gòtic,19,13
2021,2,el Barri Gòtic,20,14
2021,2,el Barri Gòtic,24,15
2021,2,el Barri Gòtic,16,16
2021,2,el Barri Gòtic,21,17
2021,2,el Barri Gòtic,43,18
2021,2,el Barri Gòtic,11,19
2021,2,el Barri Gòtic,10,20
2021,2,el Barri Gòtic,..,21
2021,2,el Barri Gòtic,..,22
2021,2,el Barri Gòtic,17,23
2021,2,el Barri Gòtic,6,24
2021,2,el Barri Gòtic,10,25
2021,2,el Barri Gòtic,19,26
2021,2,el Barri Gòtic,18,27
2021,2,el Barri Gòtic,11,28
2021,2,el Barri Gòtic,9,29
2021,2,el Barri Gòtic,14,30
2021,2,el Barri Gòtic,97,31
2021,2,el Barri Gòtic,40,32
2021,2,el Barri Gòtic,19,33
2021,2,el Barri Gòtic,5,34
2021,2,el Barri Gòtic,25,35
2021,2,el Barri Gòtic,..,36
2021,2,el Barri Gòtic,16,37
2021,2,el Barri Gòtic,7,38
2021,2,el Barri Gòtic,9,39
2021,2,el Barri Gòtic,5,40
2021,2,el Barri Gòtic,..,41
2021,2,el Barri Gòtic,11,43
2021,2,el Barri Gòtic,14,44
2021,2,el Barri Gòtic,9,45
2021,2,el Barri Gòtic,14,46
2021,2,el Barri Gòtic,..,47
2021,2,el Barri Gòtic,5,48
2021,2,el Barri Gòtic,..,49
2021,2,el Barri Gòtic,..,50
2021,2,el Barri Gòtic,6,51
2021,2,el Barri Gòtic,8,52
2021,2,el Barri Gòtic,7,53
2021,2,el Barri Gòtic,15,55
2021,2,el Barri Gòtic,7,57
2021,2,el Barri Gòtic,..,58
2021,2,el Barri Gòtic,..,59
2021,2,el Barri Gòtic,16,60
2021,2,el Barri Gòtic,14,61
2021,2,el Barri Gòtic,9,62
2021,2,el Barri Gòtic,7,63
2021,2,el Barri Gòtic,36,64
2021,2,el Barri Gòtic,20,65
2021,2,el Barri Gòtic,39,66
2021,2,el Barri Gòtic,20,67
2021,2,el Barri Gòtic,40,68
2021,2,el Barri Gòtic,10,69
2021,2,el Barri Gòtic,36,70
2021,2,el Barri Gòtic,23,71
2021,2,el Barri Gòtic,13,72
2021,2,el Barri Gòtic,..,73
2021,3,la Barceloneta,70,1
2021,3,la Barceloneta,75,2
2021,3,la Barceloneta,512,3
2021,3,la Barceloneta,95,4
2021,3,la Barceloneta,50,5
2021,3,la Barceloneta,48,6
2021,3,la Barceloneta,44,7
2021,3,la Barceloneta,40,8
2021,3,la Barceloneta,40,9
2021,3,la Barceloneta,37,10
2021,3,la Barceloneta,67,11
2021,3,la Barceloneta,..,12
2021,3,la Barceloneta,7,13
2021,3,la Barceloneta,7,14
2021,3,la Barceloneta,11,15
2021,3,la Barceloneta,..,16
2021,3,la Barceloneta,10,17
2021,3,la Barceloneta,20,18
2021,3,la Barceloneta,16,19
2021,3,la Barceloneta,10,20
2021,3,la Barceloneta,..,21
2021,3,la Barceloneta,6,22
2021,3,la Barceloneta,15,23
2021,3,la Barceloneta,6,25
2021,3,la Barceloneta,21,26
2021,3,la Barceloneta,23,27
2021,3,la Barceloneta,8,28
2021,3,la Barceloneta,15,30
2021,3,la Barceloneta,43,31
2021,3,la Barceloneta,21,32
2021,3,la Barceloneta,11,33
2021,3,la Barceloneta,..,34
2021,3,la Barceloneta,14,35
2021,3,la Barceloneta,5,36
2021,3,la Barceloneta,..,37
2021,3,la Barceloneta,..,38
2021,3,la Barceloneta,6,39
