Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2022,1,Ciutat Vella,1,el Raval,1,1001,142
2022,1,Ciutat Vella,1,el Raval,1,1002,189
2022,1,Ciutat Vella,1,el Raval,2,1003,346
2022,1,Ciutat Vella,1,el Raval,2,1004,392
2022,1,Ciutat Vella,1,el Raval,3,1005,327
2022,1,Ciutat Vella,1,el Raval,3,1006,226
2022,1,Ciutat Vella,1,el Raval,3,1007,267
2022,1,Ciutat Vella,1,el Raval,4,1008,357
2022,1,Ciutat Vella,1,el Raval,4,1009,284
2022,1,Ciutat Vella,1,el Raval,4,1010,351
2022,1,Ciutat Vella,1,el Raval,5,1011,444
2022,1,Ciutat Vella,1,el Raval,5,1012,219
2022,1,Ciutat Vella,1,el Raval,5,1013,139
2022,1,Ciutat Vella,1,el Raval,6,1014,148
2022,1,Ciutat Vella,1,el Raval,6,1015,294
2022,1,Ciutat Vella,1,el Raval,6,1016,210
2022,1,Ciutat Vella,1,el Raval,6,1017,309
2022,1,Ciutat Vella,1,el Raval,7,1018,182
2022,1,Ciutat Vella,1,el Raval,7,1019,351
2022,1,Ciutat Vella,1,el Raval,7,1020,337
2022,1,Ciutat Vella,1,el Raval,8,1021,349
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1022,496
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1023,287
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1025,229
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2799
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1027,220
2022,1,Ciutat Vella,2,el Barri Gòtic,11,1028,365
2022,1,Ciutat Vella,2,el Barri Gòtic,11,1029,261
2022,1,Ciutat Vella,2,el Barri Gòtic,12,1030,357
2022,1,Ciutat Vella,2,el Barri Gòtic,12,1031,264
2022,1,Ciutat Vella,3,la Barceloneta,13,1032,267
2022,1,Ciutat Vella,3,la Barceloneta,13,1033,150
2022,1,Ciutat Vella,3,la Barceloneta,13,1034,143
2022,1,Ciutat Vella,3,la Barceloneta,14,1035,164
