Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2016,1,Ciutat Vella,1,el Raval,1,1001,138
2016,1,Ciutat Vella,1,el Raval,1,1002,211
2016,1,Ciutat Vella,1,el Raval,2,1003,373
2016,1,Ciutat Vella,1,el Raval,2,1004,315
2016,1,Ciutat Vella,1,el Raval,3,1005,279
2016,1,Ciutat Vella,1,el Raval,3,1006,217
2016,1,Ciutat Vella,1,el Raval,3,1007,238
2016,1,Ciutat Vella,1,el Raval,4,1008,361
2016,1,Ciutat Vella,1,el Raval,4,1009,231
2016,1,Ciutat Vella,1,el Raval,4,1010,301
2016,1,Ciutat Vella,1,el Raval,5,1011,347
2016,1,Ciutat Vella,1,el Raval,5,1012,179
2016,1,Ciutat Vella,1,el Raval,5,1013,105
2016,1,Ciutat Vella,1,el Raval,6,1014,173
2016,1,Ciutat Vella,1,el Raval,6,1015,219
2016,1,Ciutat Vella,1,el Raval,6,1016,199
2016,1,Ciutat Vella,1,el Raval,6,1017,209
2016,1,Ciutat Vella,1,el Raval,7,1018,115
2016,1,Ciutat Vella,1,el Raval,7,1019,316
2016,1,Ciutat Vella,1,el Raval,7,1020,221
2016,1,Ciutat Vella,1,el Raval,8,1021,225
2016,1,Ciutat Vella,2,el Barri Gòtic,9,1022,152
2016,1,Ciutat Vella,2,el Barri Gòtic,9,1023,212
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1025,180
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1026,447
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1027,192
2016,1,Ciutat Vella,2,el Barri Gòtic,11,1028,246
2016,1,Ciutat Vella,2,el Barri Gòtic,11,1029,250
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1030,286
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1031,233
2016,1,Ciutat Vella,3,la Barceloneta,13,1032,207
2016,1,Ciutat Vella,3,la Barceloneta,13,1033,127
2016,1,Ciutat Vella,3,la Barceloneta,13,1034,101
2016,1,Ciutat Vella,3,la Barceloneta,14,1035,155
2016,1,Ciutat Vella,3,la Barceloneta,14,1036,102
2016,1,Ciutat Vella,3,la Barceloneta,15,1037,94
2016,1,Ciutat Vella,3,la Barceloneta,15,1038,203
2016,1,Ciutat Vella,3,la Barceloneta,15,1039,101
2016,1,Ciutat Vella,3,la Barceloneta,15,1040,148
2016,1,Ciutat Vella,3,la Barceloneta,15,1041,210
2016,1,Ciutat Vella,3,la Barceloneta,15,1042,100
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,169
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,154
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,223
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,211
