Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2021,1,Ciutat Vella,1,el Raval,1,1001,148
2021,1,Ciutat Vella,1,el Raval,1,1002,167
2021,1,Ciutat Vella,1,el Raval,2,1003,253
2021,1,Ciutat Vella,1,el Raval,2,1004,294
2021,1,Ciutat Vella,1,el Raval,3,1005,282
2021,1,Ciutat Vella,1,el Raval,3,1006,240
2021,1,Ciutat Vella,1,el Raval,3,1007,210
2021,1,Ciutat Vella,1,el Raval,4,1008,356
2021,1,Ciutat Vella,1,el Raval,4,1009,225
2021,1,Ciutat Vella,1,el Raval,4,1010,226
2021,1,Ciutat Vella,1,el Raval,5,1011,354
2021,1,Ciutat Vella,1,el Raval,5,1012,204
2021,1,Ciutat Vella,1,el Raval,5,1013,101
2021,1,Ciutat Vella,1,el Raval,6,1014,161
2021,1,Ciutat Vella,1,el Raval,6,1015,212
2021,1,Ciutat Vella,1,el Raval,6,1016,167
2021,1,Ciutat Vella,1,el Raval,6,1017,209
2021,1,Ciutat Vella,1,el Raval,7,1018,118
2021,1,Ciutat Vella,1,el Raval,7,1019,344
2021,1,Ciutat Vella,1,el Raval,7,1020,273
2021,1,Ciutat Vella,1,el Raval,8,1021,232
2021,1,Ciutat Vella,2,el Barri Gòtic,9,1022,284
2021,1,Ciutat Vella,2,el Barri Gòtic,9,1023,247
2021,1,Ciutat Vella,2,el Barri Gòtic,10,1025,171
2021,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1404
2021,1,Ciutat Vella,2,el Barri Gòtic,10,1027,210
2021,1,Ciutat Vella,2,el Barri Gòtic,11,1028,268
2021,1,Ciutat Vella,2,el Barri Gòtic,11,1029,213
2021,1,Ciutat Vella,2,el Barri Gòtic,12,1030,296
2021,1,Ciutat Vella,2,el Barri Gòtic,12,1031,241
2021,1,Ciutat Vella,3,la Barceloneta,13,1032,209
2021,1,Ciutat Vella,3,la Barceloneta,13,1033,123
2021,1,Ciutat Vella,3,la Barceloneta,13,1034,129
2021,1,Ciutat Vella,3,la Barceloneta,14,1035,151
2021,1,Ciutat Vella,3,la Barceloneta,14,1036,102
2021,1,Ciutat Vella,3,la Barceloneta,15,1037,97
2021,1,Ciutat Vella,3,la Barceloneta,15,1038,176
2021,1,Ciutat Vella,3,la Barceloneta,15,1039,142
2021,1,Ciutat Vella,3,la Barceloneta,15,1040,127
2021,1,Ciutat Vella,3,la Barceloneta,15,1041,195
2021,1,Ciutat Vella,3,la Barceloneta,15,1042,100
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,178
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,144
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,296
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,263
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,252
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,233
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,178
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,230
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,202
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,240
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,198
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,126
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,61
2021,2,Eixample,5,el Fort Pienc,20,2001,100
2021,2,Eixample,5,el Fort Pienc,20,2002,567
2021,2,Eixample,5,el Fort Pienc,20,2003,78
2021,2,Eixample,5,el Fort Pienc,20,2004,113
2021,2,Eixample,5,el Fort Pienc,20,2005,98
2021,2,Eixample,5,el Fort Pienc,20,2006,125
2021,2,Eixample,5,el Fort Pienc,20,2007,87
2021,2,Eixample,5,el Fort Pienc,20,2008,118
2021,2,Eixample,5,el Fort Pienc,20,2009,117
2021,2,Eixample,5,el Fort Pienc,21,2010,92
2021,2,Eixample,5,el Fort Pienc,21,2011,67
2021,2,Eixample,5,el Fort Pienc,21,2012,124
2021,2,Eixample,5,el Fort Pienc,21,2013,88
2021,2,Eixample,5,el Fort Pienc,22,2014,122
2021,2,Eixample,5,el Fort Pienc,22,2015,139
2021,2,Eixample,5,el Fort Pienc,22,2016,107
2021,2,Eixample,5,el Fort Pienc,22,2017,150
2021,2,Eixample,5,el Fort Pienc,22,2018,149
2021,2,Eixample,5,el Fort Pienc,22,2019,133
2021,2,Eixample,5,el Fort Pienc,22,2020,166
2021,2,Eixample,6,la Sagrada Família,23,2021,125
2021,2,Eixample,6,la Sagrada Família,23,2022,124
2021,2,Eixample,6,la Sagrada Família,23,2023,65
2021,2,Eixample,6,la Sagrada Família,23,2024,119
2021,2,Eixample,6,la Sagrada Família,24,2025,101
2021,2,Eixample,6,la Sagrada Família,24,2026,145
2021,2,Eixample,6,la Sagrada Família,24,2027,156
2021,2,Eixample,6,la Sagrada Família,24,2028,125
2021,2,Eixample,6,la Sagrada Família,24,2029,52
2021,2,Eixample,6,la Sagrada Família,24,2030,108
2021,2,Eixample,6,la Sagrada Família,24,2031,60
2021,2,Eixample,6,la Sagrada Família,24,2032,77
2021,2,Eixample,6,la Sagrada Família,25,2033,73
2021,2,Eixample,6,la Sagrada Família,25,2034,109
2021,2,Eixample,6,la Sagrada Família,25,2035,97
2021,2,Eixample,6,la Sagrada Família,25,2036,60
2021,2,Eixample,6,la Sagrada Família,25,2037,51
2021,2,Eixample,6,la Sagrada Família,25,2038,65
2021,2,Eixample,6,la Sagrada Família,25,2039,155
2021,2,Eixample,6,la Sagrada Família,25,2040,137
2021,2,Eixample,6,la Sagrada Família,26,2041,95
2021,2,Eixample,6,la Sagrada Família,26,2042,110
2021,2,Eixample,6,la Sagrada Família,26,2043,67
2021,2,Eixample,6,la Sagrada Família,26,2044,102
