id,host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,availability_365,estimated_occupancy_l365d,number_of_reviews_ly,last_review,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,geometry,AREA,zona_peuat,Reviews
1165811934796751872,2016,2,2,2,el Parc i la Llacuna del Poblenou,Sant Martí,Entire home/apt,1,1,2,185,354,72,9,2025-02-16,5,4.92,4.83,4.75,4.42,"c(432762.892940416, 4583537.50107631)",1334.33646724,2,1
1165845123013833216,2024,1,2,1,la Barceloneta,Ciutat Vella,Entire home/apt,1,2,2,80,298,0,0,NA,NA,NA,NA,NA,NA,"c(432276.404341434, 4580864.81783464)",1316.17983204,1,0
1165877395830726656,2015,1,2,2,la Vila de Gràcia,Gràcia,Private room,3,1,1,44,0,72,11,2025-01-01,4.25,4.25,4.58,4.42,4,"c(429856.32501296, 4584082.14474964)",1316.17983204,1,1
1165879257214603264,2016,1,2,2,la Barceloneta,Ciutat Vella,Entire home/apt,1,1,1,102,243,0,0,NA,NA,NA,NA,NA,NA,"c(432372.529682369, 4581199.86388074)",1316.17983204,1,0
1165892452665737728,2014,2,2,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,1,1,0,72,210,124,2,2024-08-31,5,4.5,5,4,4,"c(431597.779516206, 4581775.8442243)",1316.17983204,1,1
1165927377608012032,2020,1,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,0,4,4,278,240,0,0,NA,NA,NA,NA,NA,NA,"c(430464.292701586, 4583301.93151678)",1316.17983204,1,0
1165961268995776512,2016,1,2,2,el Poble Sec,Sants-Montjuïc,Entire home/apt,1,2,3,143,207,0,0,NA,NA,NA,NA,NA,NA,"c(430407.354591646, 4580377.07271021)",1316.17983204,1,0
1166008458274678528,2016,1,2,2,la Dreta de l'Eixample,Eixample,Private room,1,1,0,72,179,0,0,NA,NA,NA,NA,NA,NA,"c(430913.582242261, 4582724.72349402)",1316.17983204,1,0
1166028384815630336,2023,0,1,2,la Vila de Gràcia,Gràcia,Entire home/apt,1,2,3,126,34,78,13,2024-11-29,4.15,4.85,4.77,5,3.85,"c(429722.821157014, 4583425.09038007)",1316.17983204,1,1
1166050175330396928,2020,2,2,2,la Barceloneta,Ciutat Vella,Private room,1,1,1,94,99,180,10,2025-03-09,4.93,4.97,4.93,4.93,4.97,"c(431923.038412348, 4581426.34688827)",1316.17983204,1,1
1170391772322980096,2024,2,2,2,la Marina de Port,Sants-Montjuïc,Private room,NA,NA,NA,NA,0,255,41,2025-03-07,4.98,4.89,4.94,4.62,4.79,"c(427949.911419909, 4579225.51858476)",272.562045197,3,1
1170747845391402240,2013,2,2,2,Sants - Badal,Sants-Montjuïc,Private room,1,1,1,23,0,255,5,2025-02-28,4.5,4.83,4.83,4.83,4.67,"c(427348.210506753, 4580529.01974991)",272.562045197,3,1
1170774644289666304,2023,2,2,2,la Barceloneta,Ciutat Vella,Entire home/apt,1,1,1,57,248,6,1,2024-12-21,5,5,5,5,5,"c(432266.966739851, 4581233.62518269)",1316.17983204,1,1
